store_name,address,newAddress
분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호  ","경기도 성남시 분당구 분당로53번길 11 1층2,3호"
분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층  ,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층
분당차병원점,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)  ","경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)"
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층  ,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층
동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호  ,경기도 화성시 노작로 199 동탄라마다호텔107호~111호
창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호  ,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호  ","충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호"
무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩 지하2층  ,서울특별시 중구 세종대로 136 파이낸스빌딩 지하2층
국기원사거리점,서울시 강남구 테헤란로 8길 42 1층  ,서울특별시 강남구 테헤란로 8길 42 1층
무교점,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4  ","서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4"
남대문점,서울시 중구 후암로110 581호 서울시티타워1층  ,서울특별시 중구 후암로110 581호 서울시티타워1층
대학로마로니에점,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층  ","서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층"
인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층  ,서울특별시 종로구 낙원동 272 오라카이스위츠 1층
테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층  ,서울특별시 강남구 테헤란로 312 707-2번지1층
서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층  ","서울특별시 관악구 관악로 161 층일부 2,3층"
코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드  ,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드
뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층  ,서울특별시 강남구 논현로 167길 9 낙산프라자 1층
디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층  ,서울특별시 구로구 경인로 662 디큐브시티 4층
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층  ,서울특별시 영등포구 국제금융로 20 1층
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층  ,서울특별시 강남구 선릉로93길 6(역삼동) 1층
강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층  ,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층
선릉로86길점,서울시 강남구 선릉로86길 11  ,서울특별시 강남구 선릉로86길 11
안국역점,"서울시 종로구 율곡로 47 1,2층  ","서울특별시 종로구 율곡로 47 1,2층"
뉴교보타워옆점,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층  ","서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층"
IFC MALL2호점,서울시 영등포구 국제금융로10 IFC Mall L2  ,서울특별시 영등포구 국제금융로10 IFC Mall L2
상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층  ,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층
