store_name,address,newAddress
용산아이파크몰점,"서울시 용산구 한강대로 23길 55, 아이파크몰 테이스트파크 7층  ","서울특별시 용산구 한강대로 23길 55, 아이파크몰 테이스트파크 7층"
진주LH본사점,경남 진주시 충의로 19 LH진주사옥 공감동 1층  ,경상남도 진주시 충의로 19 LH진주사옥 공감동 1층
하나금융명동사옥점,서울시 중구 을지로 66 하나은행 명동사옥 1층  ,서울특별시 중구 을지로 66 하나은행 명동사옥 1층
제주애월DT점,제주도 제주시 애월읍 애월해안로 560  ,제주특별자치도 제주시 애월읍 애월해안로 560
성균관대법학관점,서울시 종로구 성균관로 25-2 성균관대학교 법학관 B2  ,서울특별시 종로구 성균관로 25-2 성균관대학교 법학관 B2
동탄타임테라스점,경기도 화성시 동탄중앙로220 타임테라스A 블록 1층 110호-1호  ,경기도 화성시 동탄중앙로220 타임테라스A 블록 1층 110호-1호
서울시청점,서울특별시 중구 무교로 12(무교동) 정오빌딩 1층  ,서울특별시 중구 무교로 12(무교동) 정오빌딩 1층
종로YBM별관점,서울시 종로구 종로 98 1층  ,서울특별시 종로구 종로 98 1층
압구정로데오2호점,서울특별시 강남구 선릉로 157길 22 2층  ,서울특별시 강남구 선릉로 157길 22 2층
고대안암병원신관점,서울특별시 성북구 고려대로 73  ,서울특별시 성북구 고려대로 73
삼성본관빌딩점,서울특별시 중구 세종대로 67 삼성 본관빌딩 1층 후문 로비 일부  ,서울특별시 중구 세종대로 67 삼성 본관빌딩 1층 후문 로비 일부
역삼KSA한국표준협회교육센터점,서울시 강남구 역삼동 738번지 1층  ,서울특별시 강남구 역삼동 738번지 1층
