store_name,address,newAddress,_GC_TYPE,_CLEANADDR,_X,_Y
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층","서울특별시 강남구 도산대로 67길 7,파크빌딩 1층",정,서울특별시 강남구 도산대로67길 7 (청담동),127.04439462669805,37.52449099400458
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,서울특별시 강남구 테헤란로87길 36 공항타워 1층,정,서울특별시 강남구 테헤란로87길 36 (삼성동),127.05859694754976,37.51023309709225
순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,유,서울특별시 중구 순화동 204-2,126.9721977473788,37.55952164447381
소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,정,서울특별시 중구 남대문로7길 16 (소공동),126.98116394422998,37.56416829544853
종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층","서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층",유,서울특별시 종로구 청계천로 83 (관철동),126.98672817174987,37.56847626882576
강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,정,서울특별시 광진구 광나루로56길 85 (구의동),127.09574341323913,37.5356547963703
외대앞점,서울시 동대문구 이문로 106 1~3층,서울특별시 동대문구 이문로 106 1~3층,유,서울특별시 동대문구 이문로 106 (이문동),127.0602178868052,37.59606911062929
홍대역점,서울시 마포구 홍익로 6길 26,서울특별시 마포구 홍익로 6길 26,정,서울특별시 마포구 홍익로6길 26 (동교동),126.92326196901304,37.55547186421205
신촌점,서울시 서대문구 창천 18-26호 B1,서울특별시 서대문구 창천 18-26호 B1,유,서울특별시 서대문구 창천동 18-1,126.9375378181054,37.55739285767797
건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,유,서울특별시 광진구 자양동 227-1,127.07683187685905,37.53787378010817
순화동라마다호텔점,서울시 중구 칠패로 27 151호,서울특별시 중구 칠패로 27 151호,정,서울특별시 중구 칠패로 27 (순화동),126.97199102532078,37.56030583998443
하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층","서울특별시 종로구 사직로 130,1 현대적선빌딩1층",정,서울특별시 종로구 사직로 130 (적선동),126.97281382877904,37.575896291044714
고대안암역점,서울시 성북구 개운사길8 101-3 1층,서울특별시 성북구 개운사길8 101-3 1층,유,서울특별시 성북구 개운사길 8 (안암동5가),127.0295370311495,37.58673136566221
여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,정,서울특별시 영등포구 국제금융로 52 (여의도동),126.92950407303441,37.52272763815878
부산광복동점,부산광역시 중구 창선동 2가 8-2,부산광역시 중구 창선동 2가 8-2,정,부산광역시 중구 창선동2가 8-2,129.02899042358493,35.09943284478743
여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,유,서울특별시 영등포구 의사당대로 97-2 (여의도동),126.92444765865982,37.52210487174765
목동점,서울시 양천구 목동동로 293 현대41타워1층,서울특별시 양천구 목동동로 293 현대41타워1층,정,서울특별시 양천구 목동동로 293 (목동),126.87575457785361,37.52817201867787
서울스퀘어점,서울시 중구 한강대로 416 지하1층,서울특별시 중구 한강대로 416 지하1층,정,서울특별시 중구 한강대로 416 (남대문로5가),126.97376283576268,37.55552006097673
일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호,경기도 고양시 일산동구 정발산로 24 I동103~203호,정,경기도 고양시 일산동구 정발산로 24 (장항동),126.77272593965958,37.65476968065447
