"행정구역(시군구)별",2024.04,2024.04,2024.04
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"계룡시",46712,23331,23381
"금산군",50069,25388,24681
"부여군",60408,30086,30322
"서천군",48846,24158,24688
"청양군",29971,15356,14615
"홍성군",98317,49072,49245
"예산군",78183,39229,38954
"태안군",60478,30594,29884
"전북특별자치도",1748047,870133,877914
"전주시",640120,314309,325811
"완산구",325282,157913,167369
"덕진구",314838,156396,158442
"군산시",258841,131198,127643
"익산시",268488,133658,134830
"정읍시",103079,51395,51684
"남원시",76233,37381,38852
"김제시",81185,40583,40602
"완주군",98770,50625,48145
"진안군",24496,12489,12007
"무주군",23160,11582,11578
"장수군",20833,10464,10369
"임실군",25815,13320,12495
"순창군",26804,13162,13642
"고창군",51489,25688,25801
"부안군",48734,24279,24455
"전라남도",1797199,906512,890687
"목포시",213172,105918,107254
"여수시",270634,137872,132762
"순천시",277342,138512,138830
"나주시",117043,59125,57918
"광양시",152770,80033,72737
"담양군",45007,22778,22229
"곡성군",26769,13286,13483
"구례군",24165,11809,12356
"고흥군",60832,29803,31029
"보성군",37483,18355,19128
"화순군",60946,30186,30760
"장흥군",34729,17002,17727
"강진군",32587,15922,16665
"해남군",64016,32037,31979
"영암군",52050,27257,24793
"무안군",90156,45359,44797
"함평군",30393,15433,14960
"영광군",51492,25758,25734
"장성군",42389,21774,20615
"완도군",46226,23335,22891
"진도군",28807,14358,14449
"신안군",38191,20600,17591
"경상북도",2546120,1287249,1258871
"포항시",492574,250201,242373
"남구",224378,116623,107755
"북구",268196,133578,134618
"경주시",246081,123248,122833
"김천시",136658,68708,67950
"안동시",152981,75663,77318
"구미시",404966,209032,195934
"영주시",99960,49652,50308
"영천시",100146,51208,48938
"상주시",93212,45907,47305
"문경시",68205,33484,34721
"경산시",266169,133830,132339
"의성군",49588,24650,24938
"청송군",23935,12010,11925
"영양군",15517,7747,7770
"영덕군",33711,16113,17598
"청도군",41140,20413,20727
"고령군",30190,15549,14641
"성주군",41936,21918,20018
"칠곡군",109234,57315,51919
"예천군",55090,27115,27975
"봉화군",29393,14982,14411
"울진군",46339,23424,22915
"울릉군",9095,5080,4015
"경상남도",3239224,1631669,1607555
"창원시",1004693,508579,496114
"의창구",212105,107913,104192
"성산구",243411,124185,119226
"마산합포구",179218,88992,90226
"마산회원구",180072,89809,90263
"진해구",189887,97680,92207
"진주시",339883,167871,172012
"통영시",119591,60048,59543
"사천시",108979,55166,53813
"사천남양출장소",0,0,0
"김해시",532510,269263,263247
"장유출장소",0,0,0
"밀양시",101535,50162,51373
"거제시",233103,122029,111074
"양산시",355560,177915,177645
"양산시웅상출장소",0,0,0
"의령군",25354,12647,12707
"함안군",59625,30556,29069
"창녕군",56722,28394,28328
"고성군",48929,24746,24183
"남해군",40391,19663,20728
"하동군",41300,20628,20672
"산청군",33598,16656,16942
"함양군",36601,17792,18809
"거창군",59971,29525,30446
"합천군",40879,20029,20850
"제주특별자치도",672775,336674,336101
"제주시",489780,244552,245228
"서귀포시",182995,92122,90873
